word,1700-1709,1710-1719,1720-1729,1730-1739,1740-1749,1750-1759,1760-1769,1770-1779,1780-1789,1790-1799,num_decades,rank
equanimity,,,,,80,,,,,,1,334
notional,,,,,,,,80,,,1,335
obviating,,,,,,80,,,,,1,336
performances,,80,,,,,,,,,1,337
refunding,,,,,,,,,,80,1,338
abolishing,,,,81,,,,,,,1,339
diminishing,81,,,,,,,,,,1,340
political,,,,,,,,,81,,1,341
counterbalanced,,,,,,,82,,,,1,342
flourishes,,,,,,,,,82,,1,343
lucrative,,,,82,,,,,,,1,344
physiological,,,,,,,,,,82,1,345
self-knowledge,,,,,,,,82,,,1,346
advancements,,,,83,,,,,,,1,347
circumspection,,,,,83,,,,,,1,348
graphic,,,,,,,83,,,,1,349
maturation,,,,,,83,,,,,1,350
philological,,,83,,,,,,,,1,351
suppressing,83,,,,,,,,,,1,352
extemporaneous,,,,,,,,,84,,1,353
fisheries,,,,,,,,,,84,1,354
handicrafts,,,,,,84,,,,,1,355
mismanage,84,,,,,,,,,,1,356
rectitude,,84,,,,,,,,,1,357
scholarship,,,,,84,,,,,,1,358
appropriation,,,,,,,,,,85,1,359
avocation,,,,,85,,,,,,1,360
extensive,,85,,,,,,,,,1,361
mensuration,85,,,,,,,,,,1,362
savings,,,,,,85,,,,,1,363
speculative,,,,,,,,,85,,1,364
accrues,86,,,,,,,,,,1,365
advisers,,,86,,,,,,,,1,366
eradicating,,,,,,,86,,,,1,367
introduction,,,,86,,,,,,,1,368
tactics,,,,,,,,,86,,1,369
rationality,87,,,,,,,,,,1,370
calculations,,,,,88,,,,,,1,371
classical,,,88,,,,,,,,1,372
gradations,,88,,,,,,,,,1,373
qualifying,,,,88,,,,,,,1,374
sagacity,,,,,,,88,,,,1,375
amassing,,,,,,,,,89,,1,376
canvassing,,,,,,,89,,,,1,377
justness,89,,,,,,,,,,1,378
managers,,,89,,,,,,,,1,379
externals,90,,,,,,,,,,1,380
geography,,,,,90,,,,,,1,381
disservice,,,,,,91,,,,,1,382
necessities,,,91,,,,,,,,1,383
inquirers,,,,,,,,,,92,1,384
purchaser,,,92,,,,,,,,1,385
understanding,,,,,,,,,92,,1,386
closeness,93,,,,,,,,,,1,387
debasement,,,,,,,93,,,,1,388
directors,,,94,,,,,,,,1,389
scenery,,,,,,94,,,,,1,390
vocations,,,,,,,,,,94,1,391
appendages,95,,,,,,,,,,1,392
farming,,,,,,,,,95,,1,393
limning,,,95,,,,,,,,1,394
novelty,,,,,,,,95,,,1,395
adulteration,,,,,,,96,,,,1,396
argumentative,,,,,,96,,,,,1,397
instructive,,,,,,,,,96,,1,398
paucity,,,,96,,,,,,,1,399
easing,97,,,,,,,,,,1,400
insurance,,,,,,,,,97,,1,401
speci,,,,,97,,,,,,1,402
theories,,97,,,,,,,,,1,403
lesions,,,,,,,,,,98,1,404
abatements,,,,,,99,,,,,1,405
communicating,,,99,,,,,,,,1,406
facilitates,,,,,,,,,99,,1,407
sociability,,,,,,,,,,99,1,408
compensated,,,,,100,,,,,,1,409
products,,,100,,,,,,,,1,410
settlements,100,,,,,,,,,,1,411
